id,timestamp,source,text,url,ip_address,domain,hash,cve,severity,category
1,2025-11-04 16:15:17,darkweb,Ransomware infection detected. WannaCry variant encrypting files on network shares. Domain: evil.com,https://malware.net/thread/5608,,,,,high,malware
2,2025-11-20 16:15:17,honeypot,Emotet malware spreading through network. Botnet communication observed.,https://phishing-site.org/thread/8609,,c2-server.xyz,,,medium,malware
3,2025-11-21 16:15:17,osint,Unauthorized access detected on server 192.168.1.100. Brute force attack on SSH port. IP: 198.51.100.23 Domain: evil.com,https://evil.com/thread/6511,203.0.113.42,badactor.io,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,high,hack
4,2025-11-02 16:15:17,siem,Backdoor installed via compromised admin credentials. Lateral movement observed. IP: 172.16.0.1 Domain: phishing-site.org,https://evil.com/thread/2657,,evil.com,,,high,hack
5,2025-11-08 16:15:17,siem,Trojan horse discovered in email attachment. Keylogger functionality identified. IP: 198.51.100.23 Domain: badactor.io,https://c2-server.xyz/thread/1942,,badactor.io,,,medium,malware
6,2025-11-26 16:15:17,ids,Unpatched Apache Struts vulnerability CVE-2017-5638. Exploitation attempts detected. IP: 198.51.100.23 CVE-2019-0708,https://malware.net/thread/6603,192.168.1.100,,,CVE-2019-0708,critical,vulnerability
7,2025-11-23 16:15:17,siem,Trojan horse discovered in email attachment. Keylogger functionality identified.,https://malware.net/thread/5689,,badactor.io,,,critical,malware
8,2025-11-18 16:15:17,osint,DDoS attack from botnet targeting api.example.com. Traffic spike detected. IP: 10.0.0.50,https://badactor.io/thread/4169,198.51.100.23,evil.com,,,medium,hack
9,2025-11-15 16:15:17,siem,XSS vulnerability found in user input validation. Session hijacking risk. IP: 10.0.0.50 Domain: evil.com CVE-2020-1472,https://evil.com/thread/6653,,evil.com,,CVE-2019-0708,low,vulnerability
10,2025-11-24 16:15:17,darkweb,Buffer overflow vulnerability in legacy application. Remote code execution possible. IP: 198.51.100.23 Domain: evil.com CVE-2020-1472,https://c2-server.xyz/thread/5332,,,adc83b19e793491b1c6ea0fd8b46cd9f32e592fc,,medium,vulnerability
11,2025-11-08 16:15:17,darkweb,SQL injection vulnerability exploited on web application. Database breach confirmed. IP: 203.0.113.42 Domain: evil.com,https://badactor.io/thread/3212,,,,,low,hack
12,2025-11-28 16:15:17,darkweb,Backdoor installed via compromised admin credentials. Lateral movement observed. Domain: evil.com,https://c2-server.xyz/thread/3800,,,,,critical,hack
