id,timestamp,source,text,url,ip_address,domain,hash,cve,severity,category
1,2025-11-10 16:14:58,osint,CSRF vulnerability in web application. Unauthorized actions possible. Domain: c2-server.xyz CVE-2017-5638,https://phishing-site.org/thread/2638,203.0.113.42,c2-server.xyz,,CVE-2021-44228,high,vulnerability
2,2025-11-13 16:14:58,osint,CSRF vulnerability in web application. Unauthorized actions possible.,https://c2-server.xyz/thread/9862,10.0.0.50,,,CVE-2017-5638,critical,vulnerability
3,2025-11-07 16:14:58,ids,Spyware installation via drive-by download. Data exfiltration to evil.com detected.,https://evil.com/thread/8531,10.0.0.50,badactor.io,,,low,malware
4,2025-11-10 16:14:58,siem,Spyware installation via drive-by download. Data exfiltration to evil.com detected.,https://evil.com/thread/9133,10.0.0.50,,,,critical,malware
5,2025-11-27 16:14:58,ids,Unpatched Apache Struts vulnerability CVE-2017-5638. Exploitation attempts detected. Domain: badactor.io,https://phishing-site.org/thread/5948,10.0.0.50,evil.com,,CVE-2020-1472,high,vulnerability
6,2025-11-26 16:14:58,ids,Buffer overflow vulnerability in legacy application. Remote code execution possible. IP: 198.51.100.23 Domain: c2-server.xyz CVE-2017-5638,https://badactor.io/thread/1873,,c2-server.xyz,,,low,vulnerability
7,2025-11-29 16:14:58,osint,CSRF vulnerability in web application. Unauthorized actions possible. IP: 203.0.113.42 Domain: badactor.io,https://c2-server.xyz/thread/3664,192.168.1.100,,,CVE-2021-44228,critical,vulnerability
8,2025-11-10 16:14:58,darkweb,XSS vulnerability found in user input validation. Session hijacking risk. IP: 172.16.0.1,https://badactor.io/thread/8823,203.0.113.42,,,,critical,vulnerability
9,2025-11-28 16:14:58,ids,Spyware installation via drive-by download. Data exfiltration to evil.com detected. Domain: evil.com,https://badactor.io/thread/3530,,phishing-site.org,5d41402abc4b2a76b9719d911017c592,,high,malware
10,2025-11-16 16:14:58,darkweb,Cryptominer malware consuming CPU resources. Monero mining activity detected. IP: 203.0.113.42,https://c2-server.xyz/thread/7009,,,adc83b19e793491b1c6ea0fd8b46cd9f32e592fc,,high,malware
11,2025-11-25 16:14:58,siem,CSRF vulnerability in web application. Unauthorized actions possible. IP: 10.0.0.50 Domain: phishing-site.org,https://evil.com/thread/9136,192.168.1.100,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,CVE-2019-0708,medium,vulnerability
12,2025-11-18 16:14:58,ids,Ransomware infection detected. WannaCry variant encrypting files on network shares. Domain: badactor.io,https://evil.com/thread/6174,172.16.0.1,phishing-site.org,,,critical,malware
13,2025-11-06 16:14:58,siem,Trojan horse discovered in email attachment. Keylogger functionality identified. Domain: badactor.io,https://phishing-site.org/thread/6733,,,,,medium,malware
14,2025-11-12 16:14:58,ids,CSRF vulnerability in web application. Unauthorized actions possible. IP: 172.16.0.1,https://phishing-site.org/thread/9259,,malware.net,,CVE-2021-44228,critical,vulnerability
15,2025-11-17 16:14:58,osint,Phishing campaign targeting employees via email. Credential harvesting attempt.,https://phishing-site.org/thread/8117,,,adc83b19e793491b1c6ea0fd8b46cd9f32e592fc,,low,hack
